;id;track_name;size_bytes;currency;price;rating_count_tot;rating_count_ver;user_rating;user_rating_ver;ver;cont_rating;prime_genre;sup_devices.num;ipadSc_urls.num;lang.num;vpp_lic;KPI;Moyenne rating;Moyenne dl;Moyenne prix;;
53;293622097;Google Earth;37214208;USD;0;446185;1359;3,5;3.5;7.1.6;4+;Travel;43;5;30;1;0,930843807;;;;4377,978373;8,040402698
54;293760823;iFart - The Original Fart Sounds App;60320768;USD;1,99;21825;10;3;4;4.0.8;9+;Entertainment;37;5;1;1;0,045566112;;;;1526,445202;2,803402181
55;293778748;PAC-MAN;100849664;USD;0;508808;99;3;4.5;6.3.5;4+;Games;38;5;10;1;1,061484087;;;;4035,082155;7,410654572
57;294056623;FOX Sports Mobile;72748032;USD;0;57500;103;3;4;3.5.13;4+;Sports;37;0;1;0;0,119977853;;;;1356,477792;2,491247505
58;294536447;First Words Animals;32164864;USD;1,99;2576;4;4;5;7.0;4+;Games;38;5;1;1;0,005413554;;;;693,2483878;1,273189526
59;294631159;WeatherPro;69079040;USD;1,99;1572;34;4;4.5;4.8.2;4+;Weather;37;0;13;1;0,003319037;;;;541,6216555;0,994718532
60;294934058;HotSchedules;82037760;USD;2,99;3292;2;3;5;4.56.1;4+;Business;37;2;2;1;0,00690934;;;;694,8738161;1,276174716
61;295430577;Star Walk - Find Stars And Planets in Sky Above;150195200;USD;4,99;8932;55;4,5;5;7.2.3;4+;Education;37;0;12;1;0,018694127;;;;2130,771019;3,91328042
62;295646461;The Weather Channel: Forecast, Radar & Alerts;199734272;USD;0;495626;5893;3,5;4.5;8.11;4+;Weather;37;0;33;1;1,03398625;;;;4614,165002;8,474172682
63;295759189;Big Day - Event Countdown;13156352;USD;0,99;812;14;3;4;8.2.0;4+;Lifestyle;38;0;7;1;0,001723116;;;;235,4992097;0,4325075
64;295775656;12 Steps AA Companion - Alcoholics Anonymous;30367744;USD;2,99;1583;2;3,5;4.5;2.5.9.2;12+;Lifestyle;37;5;1;1;0,003346158;;;;558,3780317;1,025492556
65;296581815;OpenTable - Restaurant Reservations;93420544;USD;0;113936;150;4,5;5;10.18.0;4+;Food & Drink;37;1;6;1;0,23771933;;;;2843,058211;5,221435778
66;297244048;VLC Remote;31505408;USD;4,99;2027;2;4;5;9.30;4+;Entertainment;37;5;33;1;0,004287021;;;;901,2208549;1,65514262
67;297332787;gFlashPro - Flashcards & Tests;25997312;USD;3,99;768;4;4;4;7.1;4+;Education;37;3;3;1;0,001654272;;;;501,915925;0,921796732
68;297368629;Lose It! – Weight Loss Program and Calorie Counter;182054912;USD;0;373835;402;4;4.5;8.0.2;4+;Health & Fitness;37;3;1;1;0,77991133;;;;4571,440442;8,395706632
69;297430070;Target;138754048;USD;0;108131;13;3;2;8.21.0;4+;Shopping;37;0;1;1;0,225602841;;;;1860,167734;3,416302319
70;297606726;Fish Tycoon;13564835;USD;0,99;18943;1787;3,5;4.5;1.1.0;4+;Games;47;0;1;1;0,039549591;;;;1317,105844;2,418938716
71;297606951;Amazon App: shop, scan, compare, and read reviews;133688320;USD;0;126312;22;3,5;3;9.10.0;4+;Shopping;37;5;8;1;0,263533626;;;;2329,376379;4,278030298
72;297694601;Touchgrind;55205888;USD;4,99;35735;378;4;4.5;1.5.1;4+;Games;40;0;0;1;0,074607716;;;;3783,12096;6,947913713
73;298127110;ProPresenter Remote;46922752;USD;4,99;410;7;3;2.5;4.8.1;4+;Utilities;37;5;1;1;0,000909509;;;;306,9591986;0,563747775
74;298206806;iReal Pro - Music Book & Play Along;63283200;USD;12,99;1390;143;4,5;5;7.0.1;4+;Music;37;5;33;1;0,003010284;;;;1340,653881;2,462186006
75;298596830;NRJ Radio;53426176;USD;0;38;2;3,5;5;5.2.6;4+;Music;37;5;4;1;0,000104309;;;;40,93058442;0,075171313
76;298867247;Chase Mobile℠;39505920;USD;0;233270;14625;4,5;4.5;2.610;4+;Finance;37;0;2;1;0,486670611;;;;4068,026164;7,47115809
77;299029654;大辞林;210088960;USD;21,99;64;0;4,5;0;4.1.1;4+;Reference;37;5;2;1;0,000300346;;;;380,852205;0,699456424
79;299515267;Allrecipes Dinner Spinner;36399104;USD;0;109349;1540;3,5;5;6.3;12+;Food & Drink;37;5;1;1;0,228145885;;;;2167,329967;3,980422978
80;299853944;新浪新闻-阅读最新时事热门头条资讯视频;115143680;USD;0;2229;4;3,5;1;6.2.1;17+;News;37;0;1;1;0,004675112;;;;309,5052882;0,568423812
81;299949744;MotionX GPS;56481792;USD;1,99;14970;24;3,5;4.5;24.2;4+;Navigation;37;0;1;1;0,031267487;;;;1464,738851;2,690075008
82;300048137;AccuWeather - Weather for Life;181941248;USD;0;144214;2162;3,5;4;10.4.1;4+;Weather;37;1;43;1;0,300880281;;;;2488,976862;4,571145532
83;300238550;Mint: Personal Finance, Budget, Bills & Money;162891776;USD;0;232940;683;4;4.5;5.9.0;4+;Finance;37;5;1;1;0,485980088;;;;3608,572816;6,627346262
84;300255638;ABC News - US & World News + Live Video;98108416;USD;0;48407;20;3;3.5;5.16;12+;News;37;0;1;0;0,101008289;;;;1244,610783;2,285797471
85;300265786;Rowmote: Remote Control for Mac;54088704;USD;0,99;5531;37;3,5;2.5;4.3;4+;Utilities;40;3;13;1;0,011569849;;;;711,7474502;1,307164091
86;300590611;Peekaboo Barn;50155520;USD;1,99;3393;77;4;4;5.1.0;4+;Education;43;5;1;1;0,007117957;;;;795,5868166;1,461139787
87;300704847;Speedtest by Ookla;23936000;USD;0;65016;274;3,5;5;3.8.2;4+;Utilities;38;4;17;1;0,13565961;;;;1671,202611;3,069257277
89;301387274;Pocket God;145293312;USD;0,99;187529;1071;4;4;1.48.2;9+;Entertainment;43;5;1;1;0,391251115;;;;4727,342563;8,682029618
90;301521403;Nike+ Training Club - Workouts & Fitness Plans;140367872;USD;0;33969;466;3,5;5;5.4.1;4+;Health & Fitness;37;0;17;1;0,07089022;;;;1207,990213;2,218541742
91;301724680;Citi Mobile®;281244672;USD;0;48822;193;3,5;4;8.5.0;4+;Finance;37;0;1;1;0,101876137;;;;1448,197766;2,659696378
92;302049354;Phase 10 Pro - Play Your Friends!;66695168;USD;1,99;59155;101;4,5;2.5;3.2.0;4+;Games;40;5;1;1;0,123449181;;;;3741,72543;6,871888502
93;302584613;Kindle – Read eBooks, Magazines & Textbooks;169747456;USD;0;252076;80;3,5;4.5;5.11;4+;Book;37;5;9;1;0,525898995;;;;3290,654248;6,043470991
95;303058767;MASH;41691136;USD;1,99;4913;1;4;4;3.3.2;9+;Games;37;3;15;1;0,010288939;;;;957,3025926;1,758139875
96;303191318;同花顺-炒股、股票;122886144;USD;0;1744;0;3,5;0;10.10.46;4+;Finance;37;0;1;1;0,003663319;;;;273,7873372;0,502825792
97;303337299;Wedding Dash Deluxe;55803904;USD;0,99;16567;1155;4,5;4.5;2.29.13;4+;Games;43;4;1;1;0,034597018;;;;1582,915008;2,907112146
99;303849934;Beer Pong Game;188956672;USD;0;187315;9;2;4;17.05.15;17+;Games;37;5;9;1;0,390790134;;;;1708,791228;3,13829088
100;304731501;Tempo - Metronome with Setlists;22185984;USD;2,99;4781;1;4,5;5;3.9.2;4+;Music;37;5;10;1;0,010021909;;;;1246,789799;2,289799357
101;304770340;Skat;66160640;USD;3,99;94;4;4,5;4.5;11.0.10;4+;Games;37;0;1;1;0,000250278;;;;198,7332178;0,364984695
102;304871603;Color Splash;28135424;USD;0,99;29554;55;4;5;3.6.1;4+;Photo & Video;37;0;3;1;0,061688051;;;;1876,710048;3,446683206
103;304871622;Zombieville USA;27962441;USD;0,99;32988;2489;4;4;1.7;12+;Games;47;5;1;1;0,068851967;;;;1982,742304;3,641417388
104;304878510;Skype for iPhone;133238784;USD;0;373519;127;3,5;4;6.35.1;4+;Social Networking;37;0;32;1;0,779250013;;;;4005,646064;7,35659354
105;305343404;Tumblr;151573504;USD;0;334293;919;4;4;8.6;17+;Social Networking;37;5;16;1;0,697419906;;;;4322,915996;7,939277557
106;305557780;iSwap Faces;27069440;USD;1,99;2302;3;3,5;5;5.1;4+;Photo & Video;37;5;1;1;0,004839857;;;;574,4890626;1,055081368
107;305939712;Match™ - #1 Dating App.;101259264;USD;0;60659;57;3;2.5;17.05.01;17+;Social Networking;37;5;10;1;0,126568071;;;;1393,240826;2,558764878
108;306169895;Tozzle - Toddler's favorite puzzle;168192000;USD;2,99;2562;10;4;4.5;5.1;4+;Games;37;5;4;1;0,005390607;;;;810,2553385;1,48807935
109;306257910;HomeBudget with Sync;17485824;USD;4,99;3042;6;3,5;4;3.3.0;4+;Finance;37;5;11;1;0,0064024;;;;967,7236854;1,777278796
110;306375551;Wind Meter;5234688;USD;0,99;338;12;2,5;2;5.0;4+;Weather;43;0;1;1;0,000732184;;;;128,6927545;0,236351458
111;306468004;Map My Run+ - GPS Running & Workout Tracker;237913088;USD;2,99;16434;3;4,5;4.5;17.5.5;4+;Health & Fitness;37;0;9;1;0,034332074;;;;2311,390419;4,244998074
112;306561234;Map My Ride+ - GPS Cycling & Route Tracker;233513984;USD;2,99;10046;7;4,5;5;17.5.5;4+;Health & Fitness;37;0;9;1;0,021005606;;;;1807,201821;3,319027451
113;306621789;HuffPost - News, Politics & Entertainment;110420992;USD;0;29107;85;3;4;11.2;12+;News;37;5;10;1;0,060745164;;;;965,1196817;1,772496397
114;306628397;Phrase Party!;47774720;USD;1,99;878;48;4;4.5;8.7.5;17+;Games;38;5;1;1;0,001871234;;;;404,8797877;0,743584426
115;306937053;Minesweeper Classic;22259712;USD;0,99;1140;20;3,5;3.5;3.6;4+;Games;37;4;1;1;0,002409466;;;;323,2419042;0,593651877
116;307132353;Sally's Spa;431771648;USD;2,99;35074;403;4,5;4;3.3.0;4+;Games;43;0;6;1;0,073218325;;;;3376,659698;6,20142482
117;307184892;CBS Sports App - Sports Scores, News, Stats, Watch;120357888;USD;0;59639;11;3;2.5;10.2.2;17+;Sports;37;4;1;1;0,124440176;;;;1381,47747;2,537160815
118;307219387;Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience;90828800;USD;4,99;2913;357;4;5;7.4;4+;Health & Fitness;43;5;1;1;0,00613537;;;;1080,294168;1,984020797
119;307354030;iSwap Faces LITE;30796800;USD;0;39722;0;3;0;5.1;4+;Photo & Video;37;5;1;1;0,082889883;;;;1127,446673;2,070619016
120;307386350;DIRECTV;151397376;USD;0;81006;25;3,5;3;4.9.705;4+;Entertainment;37;0;1;1;0,169017505;;;;1865,421237;3,425950671
121;307569751;NYTimes Crossword - Daily Word Puzzle Game;46880768;USD;0;53465;204;3,5;4;2.8.1;4+;Games;37;5;1;1;0,111562234;;;;1515,494935;2,783291402
122;307727765;Doodle Jump;48741376;USD;0,99;395261;88;4,5;4.5;3.17.6;4+;Games;37;0;1;1;0,824617939;;;;7731,523599;14,19937649
123;307741537;LEDit – The LED Banner App;17145856;USD;1,99;2021;147;4,5;4.5;3.5.1;4+;Utilities;37;4;12;1;0,004257815;;;;691,7721775;1,270478383
124;307764057;niconico;25808896;USD;0;182;0;3;0;6.52;17+;Entertainment;37;5;3;1;0,000402631;;;;76,52450588;0,140541545
125;307906541;Fandango Movies - Times + Tickets;81924096;USD;0;291787;589;4;5;8.6;4+;Entertainment;37;4;1;1;0,608745068;;;;4038,743007;7,417377932
126;308111628;iCab Mobile (Web Browser);19451904;USD;1,99;2441;4;4;5;9.9;17+;Utilities;38;4;12;1;0,005131921;;;;674,8457059;1,239391969
128;308339980;iRagdoll - Ragdoll Physics;118683648;USD;0,99;1372;25;4;4;1.8.3;12+;Games;37;2;1;1;0,002895545;;;;404,4985471;0,742884257
129;308368164;Proloquo2Go - Symbol-based AAC;723764224;USD;249,99;773;10;4;3.5;5.0.1;4+;Education;37;5;3;1;0,003204298;;;;4344,042004;7,978076655
130;308750436;Dictionary.com Dictionary & Thesaurus;111275008;USD;0;200047;177;4;4;7.1.3;4+;Reference;37;0;1;1;0,417359624;;;;3344,102745;6,141632151
132;308834491;20 Minutes.fr - l'actualité en continu;109616128;USD;0;112;0;3,5;0;5.0.11;12+;News;37;5;17;1;0,000258685;;;;69,67145238;0,127955528
133;309025938;The Masters Tournament;120725504;USD;0;148160;63;4,5;3.5;9.0.701;4+;Sports;37;5;1;1;0,30911649;;;;3242,054507;5,954214842
134;309172177;myAT&T;68491264;USD;0;108507;628;3;3;5.3;4+;Utilities;37;5;2;1;0,226387242;;;;1863,399045;3,422236802
135;309187846;SFR TV;122153984;USD;0;46;0;3;0;7.3.0;4+;Entertainment;37;5;1;1;0,000118912;;;;38,78143886;0,071224286
136;309465525;Shutterfly: Prints, Photo Books, Cards Made Easy;122315776;USD;0;51427;874;4;5;7.7.0;4+;Photo & Video;37;5;1;1;0,107312701;;;;1695,556722;3,113984968
137;309527804;StickWars;17010688;USD;0,99;53821;165;3,5;4;1.8.9;12+;Games;43;1;1;0;0,112311108;;;;2220,060195;4,077264998
138;309735670;Indeed Job Search;3691520;USD;0;38681;563;4;4.5;4.3;4+;Business;37;3;28;1;0,08072235;;;;1470,506558;2,700667726
139;310303959;World Cup Table Tennis™;31387648;USD;0,99;17776;6;4;5;4.6.1;4+;Games;37;0;11;1;0,037117114;;;;1455,495723;2,673099486
140;310633997;WhatsApp Messenger;135044096;USD;0;287589;73088;4,5;4.5;2.17.22;4+;Social Networking;12;0;35;1;0,599989403;;;;4516,897675;8,295535784
141;310636441;iStudiez Pro – Homework, Schedule, Grades;55815168;USD;2,99;7308;15;4;4.5;1.9.1;4+;Productivity;37;5;30;1;0,01529158;;;;1368,285041;2,51293218
142;310738695;Zillow Real Estate - Homes for Sale & for Rent;132632576;USD;0;342969;88478;4,5;4.5;10.4.5;4+;Lifestyle;37;5;1;1;0,715521623;;;;4932,662809;9,059111758
144;310951782;2XL Supercross;270729216;USD;4,99;6093;3;4;5;1.2.1;4+;Games;37;5;7;1;0,012769398;;;;1562,242623;2,869146152
146;311466554;Pocket Tanks Deluxe;39827456;USD;4,99;5452;39;4,5;4.5;2.3.1;9+;Games;38;5;1;1;0,011434248;;;;1664,776217;3,057454845
148;311548709;Wells Fargo Mobile;57328640;USD;0;43064;216;3;2.5;3.55;4+;Finance;37;0;2;1;0,08986187;;;;1173,916522;2,155963498
150;311762416;radio.de - Der Radioplayer;40717312;USD;0;64;9;4,5;5;4.0.5;4+;Music;37;5;14;1;0,000162721;;;;67,90629569;0,124713719
151;311785642;AutoScout24 - mobile used & new car market;141136896;USD;0;220;2;4,5;5;9.1.10;4+;Productivity;37;5;13;1;0,000488164;;;;125,2130224;0,229960735
152;311972587;Sky Burger - Build & Match Food Free;146228224;USD;0;114096;2157;4,5;4;3.0.3;4+;Games;37;5;3;1;0,238053117;;;;2845,053743;5,225100684
153;312220102;MindNode – Delightful Mind Mapping;52294656;USD;9,99;1296;4;4;5;4.5.3;4+;Productivity;37;4;13;1;0,002793322;;;;1006,308693;1,848142325
154;312266675;Packing Pro;16332800;USD;2,99;1293;31;4;5;12.2;4+;Travel;37;5;11;1;0,002743254;;;;575,724533;1,057350378
155;312325565;USAA Mobile;164382720;USD;0;19946;13;4;2.5;7.32.3;4+;Finance;37;5;1;1;0,041637912;;;;1055,969317;1,939346845
156;312343159;The Moron Test;45712384;USD;0;88613;392;4;4.5;6.3.1;4+;Entertainment;37;5;1;1;0,184889103;;;;2225,684882;4,087595051
157;313199385;Sunday Lawn;16086016;USD;0,99;107727;55;3,5;4.5;1.41.1;4+;Games;37;3;1;1;0,22476831;;;;3140,864007;5,768372817
158;314303518;Peggle Classic;223805440;USD;0,99;21416;974;4,5;4.5;1.7.2;4+;Games;43;0;5;1;0,044712868;;;;1799,707275;3,305263297
159;314506629;SmartGo Player;22159360;USD;2,99;533;27;4;4;2.5.1;4+;Games;37;3;9;1;0,001157763;;;;369,8437011;0,679238689
160;314652382;I Am T-Pain 2.0;20542280;USD;2,99;32650;754;3,5;3.5;2.0.4;12+;Music;43;1;1;1;0,068157272;;;;2535,122667;4,655894888
161;314716233;TextNow - Unlimited Text + Calls;130637824;USD;0;164963;69;3,5;4;8.5.1;4+;Social Networking;37;5;3;1;0,34416627;;;;2662,013365;4,888936769
162;314819528;Boating Weather;8900608;USD;1,99;141;15;3;3;4.5;4+;Weather;40;0;1;1;0,000329553;;;;123,1227522;0,226121836
163;314855255;Best Buy;180500480;USD;0;80424;46;4;4.5;10.11.0;4+;Shopping;37;5;2;1;0,167805439;;;;2120,352371;3,89414599
164;314864297;I Dig It;19853312;USD;0,99;17190;180;4;4.5;1.12;4+;Games;40;0;1;1;0,035894617;;;;1431,305261;2,628672346
165;315021242;Unblock Me;42926080;USD;0,99;7973;127;4;5;1.5.95;4+;Games;40;5;15;1;0,016666368;;;;974,809635;1,79029254
166;316025912;Sonic The Hedgehog;36692992;USD;2,99;19621;1191;4;4.5;2.1.2;4+;Games;37;5;1;1;0,040978619;;;;2241,91547;4,117403435
168;316227296;10 Pin Shuffle Pro Bowling;36647936;USD;3,99;7315;138;4;4.5;2.01;4+;Games;37;5;6;1;0,015312442;;;;1548,120116;2,843209376
169;316391924;Sky News;91697152;USD;0;118;0;3;0;4.6;12+;News;37;5;1;1;0,000269116;;;;61,70899448;0,113332028
171;317469184;ESPN: Get scores, news, alerts & watch live sports;51538944;USD;0;290996;150;3,5;3.5;5.7.1;4+;Sports;37;5;2;1;0,607092819;;;;3535,573728;6,493279344
172;317809458;LiveATC Air Radio;8302592;USD;3,99;2785;90;4;4;1.9.0;4+;Travel;37;5;26;1;0,005862081;;;;955,3408789;1,754537078
173;317904170;The Sims 3;430128128;USD;6,99;54408;65;3,5;2;1.4.10;12+;Games;37;5;8;1;0,113573242;;;;4794,592954;8,80553873
175;318304532;Chess Pro with Coach - Learn,Play & Online Friends;69960704;USD;9,99;8138;107;4;4.5;2.89;4+;Games;37;5;13;1;0,017066913;;;;2520,848585;4,629679737
176;318592730;Guess My Age  Math Magic;767126;USD;0;123190;68841;3;3;1.1;4+;Education;47;0;1;1;0,25701851;;;;1985,475258;3,646436611
177;318639200;Crush the Castle;12996628;USD;0,99;23810;582;3,5;4;1.5;12+;Games;45;0;1;1;0,049702992;;;;1476,636679;2,711926036
178;319204550;2016 U.S. Open Golf Championship;139545600;USD;0;54192;32;4;2;8.0.263;4+;Sports;37;0;1;1;0,113080968;;;;1740,540375;3,196599968
179;319284643;The Championships, Wimbledon 2016 - Tennis Grand Slam;130394112;USD;0;20953;481;4;4;8.1;4+;Sports;37;5;1;1;0,043738688;;;;1082,295805;1,987696916
180;319295332;TuneIn Radio Pro - MLB Audiobooks Podcasts Music;101925888;USD;9,99;71609;99;4,5;4;11.9;12+;Music;37;4;14;1;0,149480439;;;;8423,429193;15,4700999
181;319740707;NBC News;52951040;USD;0;32881;7;3,5;2;5.11.0;12+;News;37;5;1;1;0,068620464;;;;1188,487873;2,182724602
182;319881193;Grindr - Gay and same sex guys chat, meet and date;80409600;USD;0;23201;14;2,5;2;3.9.1;17+;Social Networking;37;5;5;1;0,048422145;;;;729,2018582;1,339220089
183;320029256;Whole Foods Market;137312256;USD;0;17906;4;3;3;8.3.17;4+;Shopping;37;5;1;1;0,037377949;;;;756,9834873;1,390242609
184;320279293;NAVIGON Europe;144412672;USD;74,99;927;3;3,5;2.5;2.17;4+;Navigation;37;2;21;1;0,002428242;;;;2161,253327;3,969262888
185;320300350;Virtual Families;27746273;USD;1,99;18920;3014;3,5;4.5;1.1.2;9+;Games;47;0;1;1;0,039507868;;;;1646,671006;3,02420361
186;320596872;Sparkasse+;119648256;USD;0,99;30;0;3;0;3.1.3;4+;Finance;37;0;3;1;9,1729E-05;;;;45,98593574;0,084455749
187;320599923;Sparkasse - Your mobile branch;119574528;USD;0;77;1;3;4;3.1.3;4+;Finance;37;0;3;1;0,000183583;;;;49,95998399;0,091754311
188;320606217;Sleep Cycle alarm clock;79315968;USD;0;104539;11;4,5;4.5;5.4.1;4+;Health & Fitness;37;5;13;1;0,218115569;;;;2723,294505;5,001483018
189;320636131;FACEinHOLE®;12818432;USD;0,99;4016;1;4;5;5.7;12+;Photo & Video;37;5;1;1;0,008411384;;;;691,8829259;1,270681778
